,informant,start,end,filename,corpus,text,gender,age,age_group
04072022_MLI1941_Melikhovskaya-409338-410945,Interviewer,409.338,410.945,audio_files/04072022_MLI1941_Melikhovskaya-409338-410945.wav,standart,"Ну, может, вспомните какую-нибудь. ",,,
Keba_MAS1916_2-1415488-1421633,MAS1916,1415.488,1421.633,audio_files/Keba_MAS1916_2-1415488-1421633.wav,keba,"Да. А ведь остались четверо детей, но-ко-ся, один-то остался годовой,  ",,,
04072022_TNG1957_Melikhovskaya-6084315-6086562,TNG1957,6084.315,6086.562,audio_files/04072022_TNG1957_Melikhovskaya-6084315-6086562.wav,don_rnd,"Такое творилось, что не дай бог [нрзб]. ",,,
04072022_MLI1941_Melikhovskaya-2939960-2944460,Interviewer,2939.96,2944.46,audio_files/04072022_MLI1941_Melikhovskaya-2939960-2944460.wav,standart,"А вот священники той старой церкви, они где похоронены? ",,,
20180618_zii1932_a-4138791-4140326,Interviewer,4138.791,4140.326,audio_files/20180618_zii1932_a-4138791-4140326.wav,standart,Я забора не помню.,,,
20180618_zii1932_a-1020554-1023048,зии1932,1020.554,1023.048,audio_files/20180618_zii1932_a-1020554-1023048.wav,opochka,И оттуда привозит автобус.,,,
04072022_MLI1941_Melikhovskaya-1011903-1012660,Interviewer,1011.903,1012.66,audio_files/04072022_MLI1941_Melikhovskaya-1011903-1012660.wav,standart,Ага. ,,,
Keba_MAS1916_2-2534753-2537632,Interviewer,2534.753,2537.632,audio_files/Keba_MAS1916_2-2534753-2537632.wav,standart,"На уси-то, почему на уси, усь-то это что?  ",,,
Sib_15-f_111.94_114.69,Sib_15-f,111.94,114.69,./trimmed/Sib_15-f_111.94_114.69.wav,standart,"∙∙ Вот так вот ∙∙ стоя= ‖ стоит эта картинка,",f,70.0,elderly
04072022_MLI1941_Melikhovskaya-2217540-2219970,tx@MLI1941,2217.54,2219.97,audio_files/04072022_MLI1941_Melikhovskaya-2217540-2219970.wav,don_rnd,"А посуда, тарелки, все это. ",,,
04072022_MLI1941_Melikhovskaya-99104-99432,tx@MLI1941,99.104,99.432,audio_files/04072022_MLI1941_Melikhovskaya-99104-99432.wav,don_rnd,А? ,,,
Keba_MAS1916_2-2021822-2029290,MAS1916,2021.822,2029.29,audio_files/Keba_MAS1916_2-2021822-2029290.wav,keba,"А то вся уж, вся поскотина, вот этам избушки только не залило, в ельнику-то этом,
         вы ельник-то видели? ",,,
Keba_MAS1916_2-3560504-3563143,MAS1916,3560.504,3563.143,audio_files/Keba_MAS1916_2-3560504-3563143.wav,keba,"Ак они не знали, делают [].  ",,,
04072022_MLI1941_Melikhovskaya-188665-189181,tx@MLI1941,188.665,189.181,audio_files/04072022_MLI1941_Melikhovskaya-188665-189181.wav,don_rnd,Вот. ,,,
20180618_zii1932_a-592751-594685,зии1932,592.751,594.685,audio_files/20180618_zii1932_a-592751-594685.wav,opochka,"он в армии отслужил три,",,,
Sib_17-m_256.079_264.0,Sib_17-m,256.079,264.0,./trimmed/Sib_17-m_256.079_264.0.wav,standart,"∙∙∙∙ И вот я ∙∙ добираюс-сь ∙∙∙ ээ ∙∙ до-о ∙∙∙ ’’’ этого ль= ‖ до этой линии фронта,",m,70.0,elderly
Keba_MAS1916_1-40573-44570,MAS1916,40.573,44.57,audio_files/Keba_MAS1916_1-40573-44570.wav,keba,"Кошка, поди на полать!"" - скажут, бывало полать ведь была дак,  ",,,
20180619_vav1949-1207007-1209174,Interviewer,1207.007,1209.174,audio_files/20180619_vav1949-1207007-1209174.wav,standart,А она не рассказывала?..,,,
04072022_MLI1941_Melikhovskaya-2588780-2589500,Interviewer,2588.78,2589.5,audio_files/04072022_MLI1941_Melikhovskaya-2588780-2589500.wav,standart,Угу. ,,,
04072022_TNG1957_Melikhovskaya-2112626-2115302,TNG1957,2112.626,2115.302,audio_files/04072022_TNG1957_Melikhovskaya-2112626-2115302.wav,don_rnd,Приходят [нрзб] и говорит: ко мне сваты придут. ,,,
Keba_KMV1919-3409638-3416865,KMV1919,3409.638,3416.865,audio_files/Keba_KMV1919-3409638-3416865.wav,keba,"Один раз мы плыли до Каменки-то, дак паромы-то сдали, а какое-то было, какие-то чураки
         на шпалы,  ",,,
04072022_TNG1957_Melikhovskaya-4281102-4283728,TNG1957,4281.102,4283.728,audio_files/04072022_TNG1957_Melikhovskaya-4281102-4283728.wav,don_rnd,"До этого, потому что раньше ж как. ",,,
Sib_15-f_5.51_6.34,Sib_15-f,5.51,6.34,./trimmed/Sib_15-f_5.51_6.34.wav,standart,∙∙ В Чемал.,f,70.0,elderly
04072022_MLI1941_Melikhovskaya-3171140-3172440,tx@MLI1941,3171.14,3172.44,audio_files/04072022_MLI1941_Melikhovskaya-3171140-3172440.wav,don_rnd,Сделали сарайчик. ,,,
20180618_enm1930-2936949-2942162,енм1930,2936.949,2942.162,audio_files/20180618_enm1930-2936949-2942162.wav,opochka,"А я вижу, что... думаю, вот сразу узнала Рому.",,,
Keba_MAS1916_2-2282813-2283967,MAS1916,2282.813,2283.967,audio_files/Keba_MAS1916_2-2282813-2283967.wav,keba,"Так, так.  ",,,
Keba_KMV1919-1975184-1982269,KMV1919,1975.184,1982.269,audio_files/Keba_KMV1919-1975184-1982269.wav,keba,"Вот, я мешочек наклала, маленькой, в свою котомку положила, и повалилась,  ",,,
04072022_MLI1941_Melikhovskaya-2315930-2316490,Interviewer,2315.93,2316.49,audio_files/04072022_MLI1941_Melikhovskaya-2315930-2316490.wav,standart,Угу. ,,,
Keba_KMV1919-2033253-2041862,KMV1919,2033.253,2041.862,audio_files/Keba_KMV1919-2033253-2041862.wav,keba,"и мы эту мучницу сварили, эту мучницу сварили, и, это, похлебали,  ",,,
Keba_MAS1916_2-426138-427546,Interviewer,426.138,427.546,audio_files/Keba_MAS1916_2-426138-427546.wav,standart,Дом называется всё. ,,,
20180618_zii1932_a-4688768-4692292,зии1932,4688.768,4692.292,audio_files/20180618_zii1932_a-4688768-4692292.wav,opochka,"а раньше народу было много, носили на себе.",,,
20180618_enm1930-1780957-1783232,енм1930,1780.957,1783.232,audio_files/20180618_enm1930-1780957-1783232.wav,opochka,"Ну, шоссейная дорога.",,,
Keba_KMV1919-1648689-1657391,KMV1919,1648.689,1657.391,audio_files/Keba_KMV1919-1648689-1657391.wav,keba,"но, - ""Ты, Маша, дай мне кудельку!"" - ""Дак на что тебе куделька-то?"" - ""Дак мне воротца
         сегодня пожгать!"", это, куделю-то,  ",,,
04072022_MLI1941_Melikhovskaya-949261-953089,tx@MLI1941,949.261,953.089,audio_files/04072022_MLI1941_Melikhovskaya-949261-953089.wav,don_rnd,"От себя, чистосердечно, а так крестят бесплатно. ",,,
04072022_MLI1941_Melikhovskaya-2907940-2913020,tx@MLI1941,2907.94,2913.02,audio_files/04072022_MLI1941_Melikhovskaya-2907940-2913020.wav,don_rnd,"Так ее дома похоронила я. Валя была в больнице, я ездила забирать ее. ",,,
Keba_MAS1916_2-2334718-2336045,MAS1916,2334.718,2336.045,audio_files/Keba_MAS1916_2-2334718-2336045.wav,keba,Катера таскают.  ,,,
Keba_MAS1916_2-3062183-3068639,Other,3062.183,3068.639,audio_files/Keba_MAS1916_2-3062183-3068639.wav,keba,"Хотя и в отпуск куда выедешь, там вроде бы в городе мало-мале и глядишь за своим языком,
         следишь, а домой приедешь - опять так,  ",,,
Keba_MAS1916_2-2136785-2144243,Interviewer,2136.785,2144.243,audio_files/Keba_MAS1916_2-2136785-2144243.wav,standart,"Как, Вы говорите, что стало-то, вот она, там это вот от неё такое, как речка-то такая?
          ",,,
04072022_TNG1957_Melikhovskaya-5678290-5682020,TNG1957,5678.29,5682.02,audio_files/04072022_TNG1957_Melikhovskaya-5678290-5682020.wav,don_rnd,приехали у нас несколько священников. ,,,
04072022_TNG1957_Melikhovskaya-5529302-5530482,TNG1957,5529.302,5530.482,audio_files/04072022_TNG1957_Melikhovskaya-5529302-5530482.wav,don_rnd,"Ну, пятьсот рублей дали ей. ",,,
Keba_MAS1916_1-733428-737477,MAS1916,733.428,737.477,audio_files/Keba_MAS1916_1-733428-737477.wav,keba,"Он говорит: ""Нет, не принёс, старым выхвощемся.""  ",,,
Keba_KMV1919-1380500-1388409,KMV1919,1380.5,1388.409,audio_files/Keba_KMV1919-1380500-1388409.wav,keba,"а это бубна восьми-то - весёлый разговор, девятая бубна - получка,  ",,,
020721_VIK1941_Razdorskaya-1851761-1859374,VIK1941,1851.761,1859.374,audio_files/020721_VIK1941_Razdorskaya-1851761-1859374.wav,don_rnd,"Идёт мамка и нас подпоясывает. Мне же, конечно, маленькую вязочку, Вовке побольше
         брату,  ",,,
20180619_vav1949-204195-205800,Interviewer,204.195,205.8,audio_files/20180619_vav1949-204195-205800.wav,standart,У Вас так тут деревьев много.,,,
04072022_MLI1941_Melikhovskaya-713475-717909,tx@MLI1941,713.475,717.909,audio_files/04072022_MLI1941_Melikhovskaya-713475-717909.wav,don_rnd,"Это старший сын, он живет, вот как на асфальт [нрзб], ",,,
04072022_TNG1957_Melikhovskaya-1608955-1609955,TNG1957,1608.955,1609.955,audio_files/04072022_TNG1957_Melikhovskaya-1608955-1609955.wav,don_rnd,Будете записывать? ,,,
Keba_MAS1916_2-1757482-1764072,MAS1916,1757.482,1764.072,audio_files/Keba_MAS1916_2-1757482-1764072.wav,keba,"дак мы большой невод сделали, дак мы шесть человек неводили, да, шесть человек.  ",,,
20180618_zii1932_a-3768798-3770002,зии1932,3768.798,3770.002,audio_files/20180618_zii1932_a-3768798-3770002.wav,opochka,"сегодня,",,,
20180619_vav1949-460101-464816,вав1949,460.101,464.816,audio_files/20180619_vav1949-460101-464816.wav,opochka,"Там вот, тут, по этой роще ходят, я не знаю, что делают.",,,
020721_VIK1941_Razdorskaya-4695782-4703482,VIK1941,4695.782,4703.482,audio_files/020721_VIK1941_Razdorskaya-4695782-4703482.wav,don_rnd,"и капуста поздно росла, и помидоры поздно были, ранних не было же раньше.  ",,,
20180618_zii1932_a-1216334-1220328,зии1932,1216.334,1220.328,audio_files/20180618_zii1932_a-1216334-1220328.wav,opochka,"Лес пиля= пилили, а теперь и леса нет, всё выпилили.",,,
Keba_MAS1916_2-2510977-2520920,MAS1916,2510.977,2520.92,audio_files/Keba_MAS1916_2-2510977-2520920.wav,keba,"Ак вот... Ак вот, ишь, к тому оно, что говорят, ездят - не ездят, а всё равно домой
         приедут. А нет уж, мало приезжают, всё там заживутся.  ",,,
Sib_05-m_90.08_95.71,Sib_05-m,90.08,95.71,./trimmed/Sib_05-m_90.08_95.71.wav,standart,"∙∙∙∙ Ну после того ∙∙∙ мы ∙∙∙ уехали ∙∙ на наше старое место,",m,22.0,young
Keba_MAS1916_1-52314-64042,MAS1916,52.314,64.042,audio_files/Keba_MAS1916_1-52314-64042.wav,keba,"Вот бывало мати поехала на мельницу молоть, а меня всё с собой волочила, всё брала
         с собой, я худа да да невзрачненька, дак она всё меня звала с собой, то брала с собой,
          ",,,
04072022_TNG1957_Melikhovskaya-5184859-5188386,TNG1957,5184.859,5188.386,audio_files/04072022_TNG1957_Melikhovskaya-5184859-5188386.wav,don_rnd,"давай договоримся так, что если мы, вот нам суждено повенчаться ",,,
Keba_MAS1916_1-338966-344560,MAS1916,338.966,344.56,audio_files/Keba_MAS1916_1-338966-344560.wav,keba,"Опять пошла, мало ли, плывёшь, да паром где сидит, дак пойдём паром снимать! ",,,
Keba_MAS1916_2-461522-467498,MAS1916,461.522,467.498,audio_files/Keba_MAS1916_2-461522-467498.wav,keba,"В Олемы-то уж сгорела была Олема-то, там уж после пожару поставили, чисто новые передки-то
         у них были,  ",,,
04072022_MLI1941_Melikhovskaya-4357-7561,Interviewer,4.357,7.561,audio_files/04072022_MLI1941_Melikhovskaya-4357-7561.wav,standart,"Как вас зовут: полные имя, отчество, фамилия. ",,,
Sib_05-m_110.37_110.95,Sib_05-m,110.37,110.95,./trimmed/Sib_05-m_110.37_110.95.wav,standart,"ну не семьдесят,",m,22.0,young
04072022_TNG1957_Melikhovskaya-2801308-2802254,TNG1957,2801.308,2802.254,audio_files/04072022_TNG1957_Melikhovskaya-2801308-2802254.wav,don_rnd,"Тут же, ну как. ",,,
04072022_TNG1957_Melikhovskaya-6630919-6631665,TNG1957,6630.919,6631.665,audio_files/04072022_TNG1957_Melikhovskaya-6630919-6631665.wav,don_rnd,свадьба. ,,,
04072022_MLI1941_Melikhovskaya-9121-10254,Interviewer,9.121,10.254,audio_files/04072022_MLI1941_Melikhovskaya-9121-10254.wav,standart,Какого года Вы? ,,,
20180619_vav1949-942065-944166,Interviewer,942.065,944.166,audio_files/20180619_vav1949-942065-944166.wav,standart,Ну то есть даже когда совсем морозы?,,,
020721_VIK1941_Razdorskaya-6395114-6400849,Interviewer,6395.114,6400.849,audio_files/020721_VIK1941_Razdorskaya-6395114-6400849.wav,standart,Колдун мог помешать на свадьбе? ,,,
Keba_KMV1919-461018-474960,KMV1919,461.018,474.96,audio_files/Keba_KMV1919-461018-474960.wav,keba,"а вот больше корову-то надь кормить - надерём мох белый, зимой-то, летом-т, весной-т,
         осенью-то, да зимой-то вывозим, да мох-то кормим, да ячмень сеяли, да вот соломой,
         да паревом,  ",,,
Keba_MAS1916_2-434506-436897,Interviewer,434.506,436.897,audio_files/Keba_MAS1916_2-434506-436897.wav,standart,А избой чего называли? ,,,
Keba_KMV1919-3127195-3133889,KMV1919,3127.195,3133.889,audio_files/Keba_KMV1919-3127195-3133889.wav,keba,"Да. Да, поперечной пилой пилили да лучковой дак, кому вам, и кому-либо не знают никому
         неохота... ",,,
Sib_08-f_74.58_76.66,Sib_08-f,74.58,76.66,./trimmed/Sib_08-f_74.58_76.66.wav,standart,∙∙ Мы тоже его не смогли догнать!,f,48.0,elderly
Sib_05-m_77.09_79.4,Sib_05-m,77.09,79.4,./trimmed/Sib_05-m_77.09_79.4.wav,standart,"∙∙∙ Очень страшную деревню,",m,22.0,young
Keba_MAS1916_2-1606272-1612449,MAS1916,1606.272,1612.449,audio_files/Keba_MAS1916_2-1606272-1612449.wav,keba,"Вот она померла двенадцатого июля, а ей день рожденья второго августа,  ",,,
20180618_zii1932_a-299586-302413,Interviewer,299.586,302.413,audio_files/20180618_zii1932_a-299586-302413.wav,standart,"А как вы, одна дочь в семье была вы?",,,
04072022_TNG1957_Melikhovskaya-7243205-7245211,TNG1957,7243.205,7245.211,audio_files/04072022_TNG1957_Melikhovskaya-7243205-7245211.wav,don_rnd,Насыпайте себе [нрзб]. ,,,
04072022_MLI1941_Melikhovskaya-3131450-3133480,Interviewer,3131.45,3133.48,audio_files/04072022_MLI1941_Melikhovskaya-3131450-3133480.wav,standart,Потому что сын жил с матерью? ,,,
04072022_MLI1941_Melikhovskaya-1301396-1304594,Interviewer,1301.396,1304.594,audio_files/04072022_MLI1941_Melikhovskaya-1301396-1304594.wav,standart,"А дети как-то играли, ну, яйцами, нет? ",,,
Keba_MAS1916_2-3545368-3546678,MVG1911,3545.368,3546.678,audio_files/Keba_MAS1916_2-3545368-3546678.wav,keba,"Маленькая, маленькая там она.  ",,,
20180618_zii1932_a-839869-841326,зии1932,839.869,841.326,audio_files/20180618_zii1932_a-839869-841326.wav,opochka,помоюсь,,,
04072022_TNG1957_Melikhovskaya-3147480-3150700,TNG1957,3147.48,3150.7,audio_files/04072022_TNG1957_Melikhovskaya-3147480-3150700.wav,don_rnd,Кто-то: дай запишу! И с петухами забрали это. ,,,
20180618_enm1930-2638547-2640802,енм1930,2638.547,2640.802,audio_files/20180618_enm1930-2638547-2640802.wav,opochka,Там барыня жила.,,,
20180618_enm1930-1092631-1093743,Interviewer,1092.631,1093.743,audio_files/20180618_enm1930-1092631-1093743.wav,standart,Родилась тут?,,,
20180618_enm1930-1068724-1071908,енм1930,1068.724,1071.908,audio_files/20180618_enm1930-1068724-1071908.wav,opochka,А вот рядом клуб раньше был.,,,
20180618_zii1932_a-1166016-1167975,зии1932,1166.016,1167.975,audio_files/20180618_zii1932_a-1166016-1167975.wav,opochka,Ничего же нет ни у кого.,,,
Keba_MAS1916_2-3430686-3437171,MVG1911,3430.686,3437.171,audio_files/Keba_MAS1916_2-3430686-3437171.wav,keba,"Ой. А ноне этто уколы-то делали от этой болезни-то, я говорю, так я болела дак, может,
         и не надо, нет, говорят, пробно надо взять, а ничего!  ",,,
Keba_MAS1916_1-833058-839063,MAS1916,833.058,839.063,audio_files/Keba_MAS1916_1-833058-839063.wav,keba,"Но, вот пришла в баню слушаться, а моются Микита Кузин да Вася Кузин, два брата опять,
          ",,,
Keba_MAS1916_2-2719852-2721629,MAS1916,2719.852,2721.629,audio_files/Keba_MAS1916_2-2719852-2721629.wav,keba,Да. Что вы. ,,,
20180619_vav1949-850703-854826,вав1949,850.703,854.826,audio_files/20180619_vav1949-850703-854826.wav,opochka,"Так вот, такая система наша.",,,
04072022_TNG1957_Melikhovskaya-7978106-7979493,TNG1957,7978.106,7979.493,audio_files/04072022_TNG1957_Melikhovskaya-7978106-7979493.wav,don_rnd,"Да, вот это вот фанджон. ",,,
04072022_MLI1941_Melikhovskaya-229786-232261,tx@MLI1941,229.786,232.261,audio_files/04072022_MLI1941_Melikhovskaya-229786-232261.wav,don_rnd,Я в шестьдесят третьем году родила сына. ,,,
Keba_KMV1919-2549374-2559592,KMV1919,2549.374,2559.592,audio_files/Keba_KMV1919-2549374-2559592.wav,keba,"Так вот кустарник-то мы чис= чистили, двадцать четыре метра в ширину, в ширину, это
         в ширину вс= двадцать четыре метра,  ",,,
20180618_enm1930-2383828-2390219,енм1930,2383.828,2390.219,audio_files/20180618_enm1930-2383828-2390219.wav,opochka,"Говорят, что мало черник. Но мне не ходить ни в какие ягоды.",,,
Keba_MAS1916_2-727688-736221,MAS1916,727.688,736.221,audio_files/Keba_MAS1916_2-727688-736221.wav,keba,"А не сгорел наш дом, от дак и хлеб-то остался, ну олемцы-то наехали, дак у нас выносили
         кое-что много на поскотину да на поля да. ",,,
20180618_zii1932_a-2572464-2574911,зии1932,2572.464,2574.911,audio_files/20180618_zii1932_a-2572464-2574911.wav,opochka,Пойдёмте я вам чайку <сделаю>.,,,
Keba_MAS1916_2-2931896-2934851,MAS1916,2931.896,2934.851,audio_files/Keba_MAS1916_2-2931896-2934851.wav,keba,Это вот бель называется. Это бель.  ,,,
Keba_KMV1919-322906-333544,KMV1919,322.906,333.544,audio_files/Keba_KMV1919-322906-333544.wav,keba,"А наша руководительница встретила, Маргарита Анатольевна, и это, говорит, у меня артисты
         приехали, так что мы репетируем.  ",,,
20180618_zii1932_a-4385436-4387556,зии1932,4385.436,4387.556,audio_files/20180618_zii1932_a-4385436-4387556.wav,opochka,через Шоссейную ходили?,,,
04072022_TNG1957_Melikhovskaya-5516346-5518239,TNG1957,5516.346,5518.239,audio_files/04072022_TNG1957_Melikhovskaya-5516346-5518239.wav,don_rnd,Она ко мне приходит и говорит: мам! ,,,
20180619_vav1949-1209174-1211968,вав1949,1209.174,1211.968,audio_files/20180619_vav1949-1209174-1211968.wav,opochka,"Ну мы как-то этим вопросом не задавались, как-то...",,,
20180618_zii1932_a-1690242-1693859,зии1932,1690.242,1693.859,audio_files/20180618_zii1932_a-1690242-1693859.wav,opochka,"как-то обманули, пошли котелки мыть немецкие",,,
Sib_17-m_243.93_245.56,Sib_17-m,243.93,245.56,./trimmed/Sib_17-m_243.93_245.56.wav,standart,— ∙∙ шестнадцать лет.),m,70.0,elderly
Keba_MAS1916_2-917051-929159,MAS1916,917.051,929.159,audio_files/Keba_MAS1916_2-917051-929159.wav,keba,"я в Печору-то писала, да тут в деревнях-то писала, да и брату его, живёт за Москвой
         где-то, Костей зовут, писала да и, что пошлите, какие ле лекарства, у его такая-то
         такая болезнь, на такую-то болезнь пошлите лекарства,  ",,,
20180618_enm1930-1430269-1431684,енм1930,1430.269,1431.684,audio_files/20180618_enm1930-1430269-1431684.wav,opochka,"Да, не.",,,
20180618_zii1932_a-6369069-6370034,Interviewer,6369.069,6370.034,audio_files/20180618_zii1932_a-6369069-6370034.wav,standart,Да...,,,
Keba_MAS1916_2-812631-813586,Interviewer,812.631,813.586,audio_files/Keba_MAS1916_2-812631-813586.wav,standart,"Шадрины, да? ",,,
Keba_MAS1916_2-56224-62000,MAS1916,56.224,62.0,audio_files/Keba_MAS1916_2-56224-62000.wav,keba,"я пала, ак она меня вон вытащила да голову облила, дак я пролежалась, вот как.  ",,,
Sib_02-f_97.24_99.19,Sib_02-f,97.24,99.19,./trimmed/Sib_02-f_97.24_99.19.wav,standart,"∙∙∙ просто греющиеся,",f,20.0,young
04072022_MLI1941_Melikhovskaya-138975-139484,Interviewer,138.975,139.484,audio_files/04072022_MLI1941_Melikhovskaya-138975-139484.wav,standart,Как? ,,,
20180618_zii1932_a-30226-31981,Interviewer,30.226,31.981,audio_files/20180618_zii1932_a-30226-31981.wav,standart,Очень приятно!,,,
020721_VIK1941_Razdorskaya-346548-348379,VIK1941,346.548,348.379,audio_files/020721_VIK1941_Razdorskaya-346548-348379.wav,don_rnd,"и замолчал, заснул.  ",,,
20180618_zii1932_a-3614766-3617549,зии1932,3614.766,3617.549,audio_files/20180618_zii1932_a-3614766-3617549.wav,opochka,"А, ну вот, это её цветы.",,,
04072022_TNG1957_Melikhovskaya-2223189-2227335,TNG1957,2223.189,2227.335,audio_files/04072022_TNG1957_Melikhovskaya-2223189-2227335.wav,don_rnd,"Ну, жалко, что расстроились, да, что невесту. ",,,
20180618_zii1932_a-1060166-1062610,зии1932,1060.166,1062.61,audio_files/20180618_zii1932_a-1060166-1062610.wav,opochka,и учителя не хотят...,,,
04072022_MLI1941_Melikhovskaya-1261631-1265102,Interviewer,1261.631,1265.102,audio_files/04072022_MLI1941_Melikhovskaya-1261631-1265102.wav,standart,А вот в детстве Рождество как праздновали? ,,,
20180618_zii1932_a-1919876-1921097,зии1932,1919.876,1921.097,audio_files/20180618_zii1932_a-1919876-1921097.wav,opochka,"А, конечно, теперь",,,
020721_VIK1941_Razdorskaya-3621182-3622266,Interviewer,3621.182,3622.266,audio_files/020721_VIK1941_Razdorskaya-3621182-3622266.wav,standart,В океане? ,,,
Keba_MAS1916_2-2886809-2888730,MAS1916,2886.809,2888.73,audio_files/Keba_MAS1916_2-2886809-2888730.wav,keba,"Дак они рабочие, бат, и им можно?  ",,,
20180618_enm1930-2670501-2674542,енм1930,2670.501,2674.542,audio_files/20180618_enm1930-2670501-2674542.wav,opochka,Дома там настроена были. ,,,
020721_VIK1941_Razdorskaya-5401336-5406124,VIK1941,5401.336,5406.124,audio_files/020721_VIK1941_Razdorskaya-5401336-5406124.wav,don_rnd,"наряжается, коня седлает, и она ничего, а что она ему скажет.  ",,,
Keba_MAS1916_2-1470930-1472416,MAS1916,1470.93,1472.416,audio_files/Keba_MAS1916_2-1470930-1472416.wav,keba,"Последняя я, последняя.  ",,,
20180618_zii1932_a-3370518-3371542,зии1932,3370.518,3371.542,audio_files/20180618_zii1932_a-3370518-3371542.wav,opochka,сынова жена.,,,
04072022_MLI1941_Melikhovskaya-521546-522185,Interviewer,521.546,522.185,audio_files/04072022_MLI1941_Melikhovskaya-521546-522185.wav,standart,Угу. ,,,
Keba_MAS1916_2-1094663-1098993,MAS1916,1094.663,1098.993,audio_files/Keba_MAS1916_2-1094663-1098993.wav,keba,"Да, четыре ребёнка было, за четверых пришла,  ",,,
04072022_MLI1941_Melikhovskaya-3294430-3296140,tx@MLI1941,3294.43,3296.14,audio_files/04072022_MLI1941_Melikhovskaya-3294430-3296140.wav,don_rnd,"А мама больная, говорит. ",,,
20180618_zii1932_a-4084776-4085230,зии1932,4084.776,4085.23,audio_files/20180618_zii1932_a-4084776-4085230.wav,opochka,они...,,,
20180618_zii1932_a-3195441-3202362,зии1932,3195.441,3202.362,audio_files/20180618_zii1932_a-3195441-3202362.wav,opochka,"Если пушкиногорское, то хорошее, а если вот так, то <только> в пакетах возят, так.",,,
Keba_MAS1916_2-2689814-2695258,MAS1916,2689.814,2695.258,audio_files/Keba_MAS1916_2-2689814-2695258.wav,keba,"Не может она, не может это дома сидеть одна. И чего, она одна, ей надь говорить.  ",,,
20180618_zii1932_a-2174597-2178365,зии1932,2174.597,2178.365,audio_files/20180618_zii1932_a-2174597-2178365.wav,opochka,"Ну а потом вот что, что тут случилось мы сами не знаем...",,,
04072022_MLI1941_Melikhovskaya-208450-214704,tx@MLI1941,208.45,214.704,audio_files/04072022_MLI1941_Melikhovskaya-208450-214704.wav,don_rnd,А тогда до шестьдесят пятого года зарплата какая была: палочки в колхозе были. ,,,
20180619_vav1949-1002320-1002885,вав1949,1002.32,1002.885,audio_files/20180619_vav1949-1002320-1002885.wav,opochka,Всё.,,,
Sib_08-f_17.97_21.46,Sib_08-f,17.97,21.46,./trimmed/Sib_08-f_17.97_21.46.wav,standart,"∙∙∙ То есть ∙∙ игры были такие ∙∙ жёсткие,",f,48.0,elderly
020721_VIK1941_Razdorskaya-140034-146226,VIK1941,140.034,146.226,audio_files/020721_VIK1941_Razdorskaya-140034-146226.wav,don_rnd,"Это я хорошо помню, а я орала. А немцы, а маму немцы, мама же молодая была,  ",,,
Keba_KMV1919-2840228-2850693,KMV1919,2840.228,2850.693,audio_files/Keba_KMV1919-2840228-2850693.wav,keba,"двенадцать лошадей погнали, а четыре-то лошади забраковали, они плохие, не могут сходить,
         там тайбола, двести восемьдесят километров,  ",,,
020721_VIK1941_Razdorskaya-1686785-1689045,Interviewer,1686.785,1689.045,audio_files/020721_VIK1941_Razdorskaya-1686785-1689045.wav,standart,Что в пост? Когда он начинался? ,,,
20180618_zii1932_a-4546127-4548682,зии1932,4546.127,4548.682,audio_files/20180618_zii1932_a-4546127-4548682.wav,opochka,"Не знаю, правда, не, я-то не была.",,,
Keba_MAS1916_2-1347617-1350695,MAS1916,1347.617,1350.695,audio_files/Keba_MAS1916_2-1347617-1350695.wav,keba,"А мати говорит: ""Не пойду, не пойду, голову отрубите - не пойду!""  ",,,
020721_VIK1941_Razdorskaya-1767295-1771783,VIK1941,1767.295,1771.783,audio_files/020721_VIK1941_Razdorskaya-1767295-1771783.wav,don_rnd,"Ну как. Я, например, и сейчас только первую и последнюю неделю постю,  ",,,
Keba_MAS1916_2-291066-299316,MAS1916,291.066,299.316,audio_files/Keba_MAS1916_2-291066-299316.wav,keba,"Вот ноне кино недавно у нас было, как пилили это, ""Матвеева радость"", да, была кино? ",,,
Keba_KMV1919-3098749-3105199,KMV1919,3098.749,3105.199,audio_files/Keba_KMV1919-3098749-3105199.wav,keba,"дак вот [] были на это, не судили никого, а так мы и домой приехали боле.  ",,,
020721_VIK1941_Razdorskaya-2103488-2108040,Interviewer,2103.488,2108.04,audio_files/020721_VIK1941_Razdorskaya-2103488-2108040.wav,standart,С гайтанчиками игра как называлась? ,,,
Sib_03-m_79.77_81.09,Sib_03-m,79.77,81.09,./trimmed/Sib_03-m_79.77_81.09.wav,standart,"чтобы правила не нарушали,,,",m,19.0,young
20180618_zii1932_a-9368-11105,зии1932,9.368,11.105,audio_files/20180618_zii1932_a-9368-11105.wav,opochka,Я родилась здесь,,,
Keba_MAS1916_2-3135540-3140949,Other,3135.54,3140.949,audio_files/Keba_MAS1916_2-3135540-3140949.wav,keba,"Дак мы уж теперь с ними, кто давно-то живут, дак освоили, дак я: ""Марш-те вон вываливайте!
         Набрались - убирайтесь!""  ",,,
20180618_zii1932_a-6822334-6822903,Interviewer,6822.334,6822.903,audio_files/20180618_zii1932_a-6822334-6822903.wav,standart,Ага.,,,
Sib_11-m_56.19_59.57,Sib_11-m,56.19,59.57,./trimmed/Sib_11-m_56.19_59.57.wav,standart,".... что-то .. нашли общее,",m,45.0,middle
